pointId,easting,northing,elevation,surveyedAt
P00046,413012.93,5758390.52,24.844,2026-03-02T08:46:00.0000000+00:00
P00047,452619.27,5712722.75,17.185,2026-03-02T08:47:00.0000000+00:00
P00048,482643.92,5738502.61,47.745,2026-03-02T08:48:00.0000000+00:00
P00049,499354.52,5758756.22,81.497,2026-03-02T08:49:00.0000000+00:00
P00050,416658.09,5736275.16,17.417,2026-03-02T08:50:00.0000000+00:00
P00051,425697.62,5749979.46,25.064,2026-03-02T08:51:00.0000000+00:00
P00052,472815.77,5751225.67,57.544,2026-03-02T08:52:00.0000000+00:00
P00053,420223.72,5755034.93,64.168,2026-03-02T08:53:00.0000000+00:00
P00054,418637.78,5794984.86,86.436,2026-03-02T08:54:00.0000000+00:00
P00055,445475.90,5702825.08,31.169,2026-03-02T08:55:00.0000000+00:00
P00056,448153.36,5708224.70,45.574,2026-03-02T08:56:00.0000000+00:00
P00057,468523.36,5764332.32,80.755,2026-03-02T08:57:00.0000000+00:00
P00058,423344.31,5788196.04,1.182,2026-03-02T08:58:00.0000000+00:00
P00059,494683.22,5737734.19,88.407,2026-03-02T08:59:00.0000000+00:00
P00060,446814.39,5766740.06,0.374,2026-03-02T09:00:00.0000000+00:00
P00061,403613.64,5741915.34,17.277,2026-03-02T09:01:00.0000000+00:00
P00062,446224.49,5722364.97,22.356,2026-03-02T09:02:00.0000000+00:00
P00063,452481.86,5789715.19,56.640,2026-03-02T09:03:00.0000000+00:00
P00064,455420.41,5789065.84,12.126,2026-03-02T09:04:00.0000000+00:00
P00065,479262.28,5738337.67,21.110,2026-03-02T09:05:00.0000000+00:00
P00066,490715.62,5735966.26,25.250,2026-03-02T09:06:00.0000000+00:00
P00067,433588.89,5712012.60,52.525,2026-03-02T09:07:00.0000000+00:00
P00068,495851.97,5797397.02,60.112,2026-03-02T09:08:00.0000000+00:00
P00069,451052.27,5775776.02,45.594,2026-03-02T09:09:00.0000000+00:00
P00070,448375.19,5750156.29,49.909,2026-03-02T09:10:00.0000000+00:00
P00071,489388.78,5725193.11,6.632,2026-03-02T09:11:00.0000000+00:00
P00072,499637.25,5758123.64,77.741,2026-03-02T09:12:00.0000000+00:00
P00073,452055.94,5783087.36,79.168,2026-03-02T09:13:00.0000000+00:00
P00074,415261.77,5761710.27,14.967,2026-03-02T09:14:00.0000000+00:00
P00075,435285.88,5711220.76,70.094,2026-03-02T09:15:00.0000000+00:00
P00076,474878.04,5734147.21,63.793,2026-03-02T09:16:00.0000000+00:00
P00077,427367.84,5790242.34,2.413,2026-03-02T09:17:00.0000000+00:00
P00078,453125.86,5741439.01,45.559,2026-03-02T09:18:00.0000000+00:00
P00079,476344.11,5730247.33,12.778,2026-03-02T09:19:00.0000000+00:00
P00080,429192.62,5762365.28,68.188,2026-03-02T09:20:00.0000000+00:00
P00081,451986.23,5747074.48,80.815,2026-03-02T09:21:00.0000000+00:00
P00082,440025.30,5723868.03,8.042,2026-03-02T09:22:00.0000000+00:00
P00083,426639.81,5774639.20,66.300,2026-03-02T09:23:00.0000000+00:00
P00084,455334.33,5737424.55,0.666,2026-03-02T09:24:00.0000000+00:00
P00085,479197.41,5790337.56,82.087,2026-03-02T09:25:00.0000000+00:00
P00086,416947.98,5708532.71,73.793,2026-03-02T09:26:00.0000000+00:00
P00087,494317.04,5796568.59,55.196,2026-03-02T09:27:00.0000000+00:00
P00088,432122.72,5702733.26,5.329,2026-03-02T09:28:00.0000000+00:00
P00089,403195.08,5788337.32,65.423,2026-03-02T09:29:00.0000000+00:00
P00090,481394.96,5722912.80,62.481,2026-03-02T09:30:00.0000000+00:00
P00091,491223.83,5739025.15,78.101,2026-03-02T09:31:00.0000000+00:00
P00092,495674.55,5798866.95,23.695,2026-03-02T09:32:00.0000000+00:00
P00093,433463.95,5772103.17,20.276,2026-03-02T09:33:00.0000000+00:00
P00094,463911.53,5734969.57,47.830,2026-03-02T09:34:00.0000000+00:00
P00095,420444.84,5725863.66,81.854,2026-03-02T09:35:00.0000000+00:00
P00096,456477.13,5734967.48,61.778,2026-03-02T09:36:00.0000000+00:00
P00097,480647.17,5785743.92,27.514,2026-03-02T09:37:00.0000000+00:00
P00098,434058.07,5782871.18,88.776,2026-03-02T09:38:00.0000000+00:00
P00099,470231.63,5773651.95,14.163,2026-03-02T09:39:00.0000000+00:00
P00100,413228.33,5730594.55,85.022,2026-03-02T09:40:00.0000000+00:00
P00101,484325.29,5765188.13,34.121,2026-03-02T09:41:00.0000000+00:00
P00102,434547.85,5726801.94,33.060,2026-03-02T09:42:00.0000000+00:00
P00103,441877.71,5722791.83,21.451,2026-03-02T09:43:00.0000000+00:00
P00104,400174.01,5785745.48,86.263,2026-03-02T09:44:00.0000000+00:00
P00105,411794.61,5797370.18,31.348,2026-03-02T09:45:00.0000000+00:00
P00106,447270.24,5722390.83,7.008,2026-03-02T09:46:00.0000000+00:00
P00107,486229.20,5769172.70,75.137,2026-03-02T09:47:00.0000000+00:00
P00108,450826.75,5726539.67,48.451,2026-03-02T09:48:00.0000000+00:00
P00109,493531.29,5710455.85,50.930,2026-03-02T09:49:00.0000000+00:00
P00110,416466.36,5733511.38,1.775,2026-03-02T09:50:00.0000000+00:00
P00111,414743.15,5749950.91,42.124,2026-03-02T09:51:00.0000000+00:00
P00112,483681.58,5763146.21,87.027,2026-03-02T09:52:00.0000000+00:00
P00113,476000.29,5717348.71,87.199,2026-03-02T09:53:00.0000000+00:00
P00114,499845.44,5707771.52,22.054,2026-03-02T09:54:00.0000000+00:00
P00115,424388.61,5768860.29,60.721,2026-03-02T09:55:00.0000000+00:00
P00116,467377.47,5719012.91,50.683,2026-03-02T09:56:00.0000000+00:00
P00117,463826.58,5729024.14,75.950,2026-03-02T09:57:00.0000000+00:00
P00118,482004.71,5732354.07,8.263,2026-03-02T09:58:00.0000000+00:00
P00119,475673.44,5738681.13,35.574,2026-03-02T09:59:00.0000000+00:00
P00120,469815.62,5790789.44,60.851,2026-03-02T10:00:00.0000000+00:00
P00121,443575.54,5791279.91,49.498,2026-03-02T10:01:00.0000000+00:00
P00122,483703.84,5773401.48,7.385,2026-03-02T10:02:00.0000000+00:00
P00123,490948.85,5760317.12,63.534,2026-03-02T10:03:00.0000000+00:00
P00124,473110.16,5752426.42,48.225,2026-03-02T10:04:00.0000000+00:00
P00125,433448.53,5708465.61,19.934,2026-03-02T10:05:00.0000000+00:00
P00126,477581.19,5791299.43,63.295,2026-03-02T10:06:00.0000000+00:00
P00127,403789.90,5717104.82,21.250,2026-03-02T10:07:00.0000000+00:00
P00128,452988.26,5736354.00,20.532,2026-03-02T10:08:00.0000000+00:00
P00129,497092.57,5792310.37,64.509,2026-03-02T10:09:00.0000000+00:00
P00130,432692.01,5700616.68,51.006,2026-03-02T10:10:00.0000000+00:00
P00131,441432.22,5762645.79,64.888,2026-03-02T10:11:00.0000000+00:00
P00132,447239.47,5715216.30,8.792,2026-03-02T10:12:00.0000000+00:00
P00133,436378.90,5792614.27,80.269,2026-03-02T10:13:00.0000000+00:00
P00134,486213.33,5731250.55,58.646,2026-03-02T10:14:00.0000000+00:00
P00135,401180.40,5747964.40,10.694,2026-03-02T10:15:00.0000000+00:00
P00136,428969.35,5733418.16,36.019,2026-03-02T10:16:00.0000000+00:00
P00137,462361.73,5755302.47,47.755,2026-03-02T10:17:00.0000000+00:00
P00138,438000.66,5748200.13,0.807,2026-03-02T10:18:00.0000000+00:00
P00139,458304.05,5711622.73,74.242,2026-03-02T10:19:00.0000000+00:00
P00140,469434.86,5757590.97,70.311,2026-03-02T10:20:00.0000000+00:00
P00141,440838.06,5735831.45,1.738,2026-03-02T10:21:00.0000000+00:00
P00142,445807.19,5749628.90,58.164,2026-03-02T10:22:00.0000000+00:00
P00143,471697.38,5780404.55,15.981,2026-03-02T10:23:00.0000000+00:00
P00144,416456.88,5739348.67,73.059,2026-03-02T10:24:00.0000000+00:00
P00145,457799.55,5752578.09,42.548,2026-03-02T10:25:00.0000000+00:00
P00146,444343.64,5794345.24,6.460,2026-03-02T10:26:00.0000000+00:00
P00147,439713.92,5764598.74,60.809,2026-03-02T10:27:00.0000000+00:00
P00148,431094.67,5740213.95,1.438,2026-03-02T10:28:00.0000000+00:00
P00149,443857.13,5768934.59,73.906,2026-03-02T10:29:00.0000000+00:00
P00150,491770.73,5724783.29,79.464,2026-03-02T10:30:00.0000000+00:00
P00151,421257.36,5772973.94,41.006,2026-03-02T10:31:00.0000000+00:00
P00152,422060.47,5731946.34,14.250,2026-03-02T10:32:00.0000000+00:00
P00153,433551.42,5720819.58,32.144,2026-03-02T10:33:00.0000000+00:00
P00154,465726.62,5753433.08,58.332,2026-03-02T10:34:00.0000000+00:00
P00155,485906.84,5782840.03,29.331,2026-03-02T10:35:00.0000000+00:00
P00156,421258.09,5704211.18,47.306,2026-03-02T10:36:00.0000000+00:00
P00157,407994.36,5721287.39,65.544,2026-03-02T10:37:00.0000000+00:00
P00158,411890.09,5797737.43,23.394,2026-03-02T10:38:00.0000000+00:00
P00159,469815.33,5737449.10,57.254,2026-03-02T10:39:00.0000000+00:00
P00160,492976.12,5771352.39,7.614,2026-03-02T10:40:00.0000000+00:00
P00161,417845.18,5715101.98,11.061,2026-03-02T10:41:00.0000000+00:00
P00162,420831.15,5788985.90,45.998,2026-03-02T10:42:00.0000000+00:00
P00163,493163.26,5789427.99,87.558,2026-03-02T10:43:00.0000000+00:00
P00164,435518.42,5759013.43,30.990,2026-03-02T10:44:00.0000000+00:00
P00165,495667.10,5745656.78,22.405,2026-03-02T10:45:00.0000000+00:00
P00166,459273.68,5727426.59,19.548,2026-03-02T10:46:00.0000000+00:00
P00167,439303.13,5796391.91,20.105,2026-03-02T10:47:00.0000000+00:00
P00168,450454.79,5783003.37,15.379,2026-03-02T10:48:00.0000000+00:00
P00169,435984.93,5715666.15,3.668,2026-03-02T10:49:00.0000000+00:00
P00170,402420.74,5784454.16,2.021,2026-03-02T10:50:00.0000000+00:00
P00171,460512.42,5790149.48,27.821,2026-03-02T10:51:00.0000000+00:00
P00172,472414.33,5704517.34,53.837,2026-03-02T10:52:00.0000000+00:00
P00173,459411.43,5718952.48,83.542,2026-03-02T10:53:00.0000000+00:00
P00174,416018.58,5793756.07,38.312,2026-03-02T10:54:00.0000000+00:00
P00175,424924.43,5764077.60,51.472,2026-03-02T10:55:00.0000000+00:00
P00176,470351.23,5709899.94,27.810,2026-03-02T10:56:00.0000000+00:00
P00177,420377.02,5748699.00,58.838,2026-03-02T10:57:00.0000000+00:00
P00178,433448.01,5734223.31,50.602,2026-03-02T10:58:00.0000000+00:00
P00179,447915.53,5781498.30,0.451,2026-03-02T10:59:00.0000000+00:00
P00180,408421.52,5799217.58,21.871,2026-03-02T11:00:00.0000000+00:00
P00181,418032.11,5775874.57,57.364,2026-03-02T11:01:00.0000000+00:00
P00182,473889.65,5712894.37,25.908,2026-03-02T11:02:00.0000000+00:00
P00183,405574.15,5792862.09,66.414,2026-03-02T11:03:00.0000000+00:00
P00184,497040.93,5787585.03,11.034,2026-03-02T11:04:00.0000000+00:00
P00185,465738.40,5723163.64,77.782,2026-03-02T11:05:00.0000000+00:00
P00186,481812.61,5778590.61,74.533,2026-03-02T11:06:00.0000000+00:00
P00187,407985.76,5737093.97,52.909,2026-03-02T11:07:00.0000000+00:00
P00188,447354.09,5725826.90,22.849,2026-03-02T11:08:00.0000000+00:00
P00189,452241.98,5778580.57,55.304,2026-03-02T11:09:00.0000000+00:00
P00190,499611.14,5799211.72,82.240,2026-03-02T11:10:00.0000000+00:00
P00191,413335.09,5779405.34,50.666,2026-03-02T11:11:00.0000000+00:00
P00192,412295.44,5732262.39,1.980,2026-03-02T11:12:00.0000000+00:00
P00193,404358.99,5735058.96,50.026,2026-03-02T11:13:00.0000000+00:00
P00194,477673.75,5715567.38,11.872,2026-03-02T11:14:00.0000000+00:00
P00195,499653.24,5799648.48,55.686,2026-03-02T11:15:00.0000000+00:00
P00196,454128.35,5784624.12,75.488,2026-03-02T11:16:00.0000000+00:00
P00197,411535.12,5753881.59,70.805,2026-03-02T11:17:00.0000000+00:00
P00198,452674.12,5796614.80,48.625,2026-03-02T11:18:00.0000000+00:00
P00199,495363.02,5757728.96,85.164,2026-03-02T11:19:00.0000000+00:00
P00200,408529.75,5796538.92,31.320,2026-03-02T11:20:00.0000000+00:00
P00201,466966.64,5782179.63,76.663,2026-03-02T11:21:00.0000000+00:00
P00202,413449.91,5714927.86,76.437,2026-03-02T11:22:00.0000000+00:00
P00203,448769.18,5796808.35,76.998,2026-03-02T11:23:00.0000000+00:00
P00204,490652.19,5770640.37,47.589,2026-03-02T11:24:00.0000000+00:00
P00205,410930.57,5740909.68,4.092,2026-03-02T11:25:00.0000000+00:00
P00206,452356.19,5777687.21,83.141,2026-03-02T11:26:00.0000000+00:00
P00207,498353.89,5727324.30,60.620,2026-03-02T11:27:00.0000000+00:00
P00208,447600.09,5717856.13,43.762,2026-03-02T11:28:00.0000000+00:00
P00209,419608.73,5789556.96,1.158,2026-03-02T11:29:00.0000000+00:00
P00210,461423.29,5711324.23,47.278,2026-03-02T11:30:00.0000000+00:00
P00211,425391.45,5786896.05,30.657,2026-03-02T11:31:00.0000000+00:00
P00212,466092.26,5726216.82,33.964,2026-03-02T11:32:00.0000000+00:00
P00213,472510.60,5752092.08,80.436,2026-03-02T11:33:00.0000000+00:00
P00214,441069.96,5709775.64,43.309,2026-03-02T11:34:00.0000000+00:00
P00215,419723.55,5717911.61,54.623,2026-03-02T11:35:00.0000000+00:00
P00216,402865.75,5736398.99,4.218,2026-03-02T11:36:00.0000000+00:00
P00217,475148.41,5775393.52,43.208,2026-03-02T11:37:00.0000000+00:00
P00218,450023.36,5736814.93,21.411,2026-03-02T11:38:00.0000000+00:00
P00219,463765.52,5740325.67,73.556,2026-03-02T11:39:00.0000000+00:00
P00220,418050.60,5796643.55,77.781,2026-03-02T11:40:00.0000000+00:00
P00221,447800.04,5766555.63,71.615,2026-03-02T11:41:00.0000000+00:00
P00222,460082.73,5755415.30,30.475,2026-03-02T11:42:00.0000000+00:00
P00223,468209.88,5749127.88,13.116,2026-03-02T11:43:00.0000000+00:00
P00224,494155.26,5731462.76,88.075,2026-03-02T11:44:00.0000000+00:00
P00225,422073.35,5792915.80,73.442,2026-03-02T11:45:00.0000000+00:00
P00226,425170.19,5756026.97,3.435,2026-03-02T11:46:00.0000000+00:00
P00227,454284.86,5757236.75,29.511,2026-03-02T11:47:00.0000000+00:00
P00228,485732.33,5719380.92,89.932,2026-03-02T11:48:00.0000000+00:00
P00229,406562.29,5746076.85,55.592,2026-03-02T11:49:00.0000000+00:00
P00230,446690.71,5706198.58,37.446,2026-03-02T11:50:00.0000000+00:00
P00231,468664.79,5791564.11,4.142,2026-03-02T11:51:00.0000000+00:00
P00232,491541.70,5784581.05,31.284,2026-03-02T11:52:00.0000000+00:00
P00233,454372.18,5793655.80,81.645,2026-03-02T11:53:00.0000000+00:00
P00234,488186.29,5735632.99,66.523,2026-03-02T11:54:00.0000000+00:00
P00235,498124.40,5757453.96,45.333,2026-03-02T11:55:00.0000000+00:00
P00236,437394.95,5744463.12,5.536,2026-03-02T11:56:00.0000000+00:00
P00237,459614.74,5728378.05,1.285,2026-03-02T11:57:00.0000000+00:00
P00238,408676.01,5794465.17,27.428,2026-03-02T11:58:00.0000000+00:00
P00239,465622.66,5780005.41,63.124,2026-03-02T11:59:00.0000000+00:00
P00240,408977.69,5705227.39,11.649,2026-03-02T12:00:00.0000000+00:00
P00241,456771.94,5720417.51,61.393,2026-03-02T12:01:00.0000000+00:00
P00242,483975.41,5712352.40,18.165,2026-03-02T12:02:00.0000000+00:00
P00243,436198.83,5728098.07,81.731,2026-03-02T12:03:00.0000000+00:00
P00244,457866.80,5709472.14,28.841,2026-03-02T12:04:00.0000000+00:00
P00245,453300.95,5724494.32,3.375,2026-03-02T12:05:00.0000000+00:00
P00246,448392.20,5761428.63,43.064,2026-03-02T12:06:00.0000000+00:00
P00247,408125.57,5732887.55,30.889,2026-03-02T12:07:00.0000000+00:00
P00248,430496.25,5745739.63,4.877,2026-03-02T12:08:00.0000000+00:00
P00249,484328.01,5778027.32,73.326,2026-03-02T12:09:00.0000000+00:00
P00250,455499.42,5763663.36,88.723,2026-03-02T12:10:00.0000000+00:00
P00251,414858.51,5738097.74,82.002,2026-03-02T12:11:00.0000000+00:00
P00252,455084.72,5734645.21,89.335,2026-03-02T12:12:00.0000000+00:00
P00253,440231.02,5746824.20,75.055,2026-03-02T12:13:00.0000000+00:00
P00254,438404.89,5790351.36,42.017,2026-03-02T12:14:00.0000000+00:00
P00255,459534.16,5739015.28,7.062,2026-03-02T12:15:00.0000000+00:00
P00256,442761.71,5759425.60,36.817,2026-03-02T12:16:00.0000000+00:00
P00257,450818.55,5733943.45,7.326,2026-03-02T12:17:00.0000000+00:00
P00258,453126.62,5702924.44,82.786,2026-03-02T12:18:00.0000000+00:00
P00259,485778.34,5758057.58,88.081,2026-03-02T12:19:00.0000000+00:00
P00260,482015.78,5704232.36,13.753,2026-03-02T12:20:00.0000000+00:00
P00261,461271.26,5764885.28,71.271,2026-03-02T12:21:00.0000000+00:00
P00262,474153.79,5762500.65,62.284,2026-03-02T12:22:00.0000000+00:00
P00263,471597.92,5781399.57,75.850,2026-03-02T12:23:00.0000000+00:00
P00264,498835.15,5724406.60,38.729,2026-03-02T12:24:00.0000000+00:00
P00265,448161.84,5773982.51,70.621,2026-03-02T12:25:00.0000000+00:00
P00266,477490.14,5740448.58,75.821,2026-03-02T12:26:00.0000000+00:00
P00267,467743.24,5783744.75,63.121,2026-03-02T12:27:00.0000000+00:00
P00268,416111.20,5765205.29,77.049,2026-03-02T12:28:00.0000000+00:00
P00269,426768.24,5794538.19,33.001,2026-03-02T12:29:00.0000000+00:00
P00270,450952.00,5783212.91,72.942,2026-03-02T12:30:00.0000000+00:00
P00271,453129.22,5701206.00,78.552,2026-03-02T12:31:00.0000000+00:00
P00272,487954.13,5708770.99,80.588,2026-03-02T12:32:00.0000000+00:00
P00273,401307.23,5744791.12,39.223,2026-03-02T12:33:00.0000000+00:00
P00274,407757.18,5798115.69,22.542,2026-03-02T12:34:00.0000000+00:00
P00275,467580.58,5776977.40,6.833,2026-03-02T12:35:00.0000000+00:00
P00276,498935.75,5744434.89,20.473,2026-03-02T12:36:00.0000000+00:00
P00277,410958.15,5733067.09,37.735,2026-03-02T12:37:00.0000000+00:00
P00278,496147.27,5734316.35,16.144,2026-03-02T12:38:00.0000000+00:00
P00279,455379.38,5756577.60,75.617,2026-03-02T12:39:00.0000000+00:00
P00280,496156.84,5798407.46,29.293,2026-03-02T12:40:00.0000000+00:00
P00281,478280.47,5705382.25,0.141,2026-03-02T12:41:00.0000000+00:00
P00282,414462.11,5700338.97,1.285,2026-03-02T12:42:00.0000000+00:00
P00283,489301.97,5776805.24,65.969,2026-03-02T12:43:00.0000000+00:00
P00284,419894.31,5740435.62,76.689,2026-03-02T12:44:00.0000000+00:00
P00285,426735.38,5791656.82,83.386,2026-03-02T12:45:00.0000000+00:00
P00286,448989.63,5782927.03,28.940,2026-03-02T12:46:00.0000000+00:00
P00287,468127.70,5727200.20,19.060,2026-03-02T12:47:00.0000000+00:00
P00288,414142.57,5737428.28,64.863,2026-03-02T12:48:00.0000000+00:00
P00289,484953.71,5711146.01,24.008,2026-03-02T12:49:00.0000000+00:00
P00290,488864.15,5762777.36,88.622,2026-03-02T12:50:00.0000000+00:00
P00291,422500.31,5718519.61,43.373,2026-03-02T12:51:00.0000000+00:00
P00292,445633.85,5766144.82,50.022,2026-03-02T12:52:00.0000000+00:00
P00293,469771.99,5710760.34,43.269,2026-03-02T12:53:00.0000000+00:00
P00294,431491.98,5766547.05,87.217,2026-03-02T12:54:00.0000000+00:00
P00295,427473.47,5736861.82,13.158,2026-03-02T12:55:00.0000000+00:00
P00296,431246.31,5771968.64,87.893,2026-03-02T12:56:00.0000000+00:00
P00297,487518.52,5709581.00,74.860,2026-03-02T12:57:00.0000000+00:00
P00298,420210.02,5715074.08,28.273,2026-03-02T12:58:00.0000000+00:00
P00299,490102.54,5767428.35,4.000,2026-03-02T12:59:00.0000000+00:00
P00300,495677.17,5734063.96,30.008,2026-03-02T13:00:00.0000000+00:00
P00301,400457.63,5770631.50,46.248,2026-03-02T13:01:00.0000000+00:00
P00302,430259.04,5702075.21,42.959,2026-03-02T13:02:00.0000000+00:00
P00303,417331.31,5716335.80,76.955,2026-03-02T13:03:00.0000000+00:00
P00304,406689.18,5715890.09,82.604,2026-03-02T13:04:00.0000000+00:00
P00305,448454.95,5726695.71,62.804,2026-03-02T13:05:00.0000000+00:00
P00306,455329.90,5718180.08,89.188,2026-03-02T13:06:00.0000000+00:00
P00307,415377.69,5750636.90,70.268,2026-03-02T13:07:00.0000000+00:00
P00308,425290.68,5707588.71,16.735,2026-03-02T13:08:00.0000000+00:00
P00309,483668.15,5732107.38,81.156,2026-03-02T13:09:00.0000000+00:00
P00310,484958.90,5771605.10,1.561,2026-03-02T13:10:00.0000000+00:00
P00311,498116.58,5735497.21,59.561,2026-03-02T13:11:00.0000000+00:00
P00312,477749.08,5731732.97,58.151,2026-03-02T13:12:00.0000000+00:00
P00313,444914.16,5739896.89,75.232,2026-03-02T13:13:00.0000000+00:00
P00314,452846.76,5776849.53,79.541,2026-03-02T13:14:00.0000000+00:00
P00315,448353.16,5700696.02,21.086,2026-03-02T13:15:00.0000000+00:00
P00316,447209.05,5768143.94,82.203,2026-03-02T13:16:00.0000000+00:00
P00317,491370.03,5702695.51,84.099,2026-03-02T13:17:00.0000000+00:00
P00318,441854.86,5749977.16,84.736,2026-03-02T13:18:00.0000000+00:00
P00319,475791.95,5706757.48,51.248,2026-03-02T13:19:00.0000000+00:00
P00320,479303.45,5769999.81,65.492,2026-03-02T13:20:00.0000000+00:00
P00321,455419.75,5784825.23,45.599,2026-03-02T13:21:00.0000000+00:00
P00322,446999.50,5724282.19,87.805,2026-03-02T13:22:00.0000000+00:00
P00323,420532.01,5783206.66,10.021,2026-03-02T13:23:00.0000000+00:00
P00324,404181.31,5723219.27,24.278,2026-03-02T13:24:00.0000000+00:00
P00325,401931.98,5747830.43,13.471,2026-03-02T13:25:00.0000000+00:00
P00326,450363.10,5730413.53,86.184,2026-03-02T13:26:00.0000000+00:00
P00327,425108.18,5735837.89,62.431,2026-03-02T13:27:00.0000000+00:00
P00328,449356.56,5798283.26,25.559,2026-03-02T13:28:00.0000000+00:00
P00329,441644.12,5733755.67,69.418,2026-03-02T13:29:00.0000000+00:00
P00330,426000.28,5748558.56,19.514,2026-03-02T13:30:00.0000000+00:00
P00331,412148.03,5735249.77,62.876,2026-03-02T13:31:00.0000000+00:00
P00332,450117.67,5705320.64,37.924,2026-03-02T13:32:00.0000000+00:00
P00333,466310.14,5761423.80,69.704,2026-03-02T13:33:00.0000000+00:00
P00334,429554.75,5770989.91,1.027,2026-03-02T13:34:00.0000000+00:00
P00335,413381.82,5732876.88,24.676,2026-03-02T13:35:00.0000000+00:00
P00336,469932.68,5797697.84,70.662,2026-03-02T13:36:00.0000000+00:00
P00337,407918.72,5787088.10,68.607,2026-03-02T13:37:00.0000000+00:00
P00338,450656.76,5770581.41,1.629,2026-03-02T13:38:00.0000000+00:00
P00339,480449.45,5750661.78,24.454,2026-03-02T13:39:00.0000000+00:00
P00340,480487.20,5702058.32,57.866,2026-03-02T13:40:00.0000000+00:00
P00341,454744.61,5739583.37,85.736,2026-03-02T13:41:00.0000000+00:00
P00342,494745.81,5736333.95,64.054,2026-03-02T13:42:00.0000000+00:00
P00343,483353.18,5799594.10,37.247,2026-03-02T13:43:00.0000000+00:00
P00344,432210.72,5780970.69,7.815,2026-03-02T13:44:00.0000000+00:00
P00345,417029.91,5740685.52,3.575,2026-03-02T13:45:00.0000000+00:00
P00346,464199.75,5708444.00,50.145,2026-03-02T13:46:00.0000000+00:00
P00347,421202.13,5782144.96,41.195,2026-03-02T13:47:00.0000000+00:00
P00348,426638.85,5773813.45,85.085,2026-03-02T13:48:00.0000000+00:00
